QUASAR,QUASAR Z,<Z>,F,F error,Tau
,,,,,
,,,,,
J0002+2550_HIRES_fromGB.txt,5.820,5.677,0.036,0.002,3.335
,,5.521,0.027,0.002,3.616
,,5.371,0.039,0.001,3.236
,,5.226,0.047,0.002,3.055
,,5.086,0.125,0.001,2.079
,,4.950,0.109,0.001,2.212
,,,,,
J0005-0006_ESI_fromGB.txt,5.850,5.550,0.082,0.003,2.499
,,5.399,0.088,0.003,2.429
,,5.253,0.061,0.002,2.791
,,5.112,0.109,0.003,2.216
,,4.975,0.144,0.003,1.936
,,,,,
J0033-0125_ESI_KOA.txt,6.130,5.816,0.018,0.024,> 2.922
,,5.656,0.002,0.017,> 3.358
,,5.501,0.046,0.020,3.069
,,5.351,0.162,0.017,1.822
,,5.207,0.151,0.017,1.890
,,,,,
J0050+3445_ESI_Becker15.txt,6.250,5.930,0.015,0.002,4.222
,,5.766,0.016,0.003,4.127
,,5.607,0.038,0.002,3.274
,,5.454,0.119,0.002,2.132
,,5.306,0.067,0.002,2.702
,,,,,
J0100+2802_XShooter_fromGB.txt,6.300,5.977,0.004,0.000,5.464
,,5.811,0.003,0.000,5.921
,,5.651,0.030,0.000,3.508
,,5.497,0.078,0.000,2.552
,,5.348,0.161,0.000,1.828
,,,,,
J0148+0600_XShooter_fromGB.txt,5.923,5.778,0.000,0.000,> 7.205
,,5.619,0.056,0.000,> 7.181
,,5.466,0.056,0.000,2.886
,,5.317,0.061,0.001,2.791
,,5.174,0.133,0.000,2.014
,,5.036,0.206,0.000,1.580
,,,,,
J0203+0012_ESI_Becker15.txt,5.720,5.426,0.038,0.006,3.270
,,5.279,0.056,0.005,2.884
,,5.137,0.105,0.005,2.257
,,5.000,0.061,0.007,2.803
,,4.867,0.153,0.005,1.880
,,,,,
J0210-0456_ESI_fromGB.txt,6.440,6.112,0.008,0.009,> 3.976
,,5.944,-0.001,0.012,> 3.769
,,5.779,0.007,0.013,> 3.425
,,5.620,0.021,0.011,3.886
,,5.466,0.077,0.012,2.570
,,,,,
J0227-0605_ESI_KOA.txt,6.210,5.892,0.027,0.016,3.606
,,5.729,0.099,0.013,2.316
,,5.572,0.156,0.013,1.860
,,5.420,0.098,0.013,2.318
,,5.273,0.051,0.010,2.983
,,,,,
J0303-0019_ESI_fromGB.txt,6.078,5.766,0.037,0.019,3.306
,,5.608,0.065,0.016,2.729
,,5.455,0.125,0.018,2.078
,,5.307,0.192,0.021,1.649
,,5.164,0.158,0.017,1.847
,,,,,
J0323-4701_GMOS_Reed17.txt,6.250,5.930,0.015,0.010,4.185
,,5.766,0.004,0.006,> 4.398
,,5.607,0.017,0.008,4.099
,,5.454,0.075,0.012,2.586
,,5.306,0.075,0.009,2.588
,,,,,
J0330-4025_GMOS_Reed17.txt,6.250,5.930,0.003,0.009,> 4.0381
,,5.766,0.044,0.005,3.125
,,5.607,0.028,0.007,3.581
,,5.454,0.047,0.010,3.049
,,5.306,0.060,0.008,2.817
,,,,,
J0353+0104_ESI_Becker15.txt,6.072,5.761,-0.005,0.004,> 5.137
,,5.602,0.018,0.003,4.019
,,5.450,0.042,0.003,3.172
,,5.302,0.063,0.002,2.764
